CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventYear,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Surfrider Foundation Europe,"Catania Viale Kennedy 93, 95100 Catania, Italie",IT,Mediterranean Sea,90,,,20151108,2015,Cleanup,15.0845,37.4453,15.0855,37.4453
Surfrider Foundation Europe,"963 Calle Bandera, 39170 39170, Espagne",ES,North-east Atlantic Ocean,81,,,20151114,2015,Cleanup,-3.62001,43.4962,-3.61901,43.4962
Surfrider Foundation Europe,"23 Route de Maguelone, 34250 Palavas-les-Flots, France",FR,Mediterranean Sea,81,,,20151115,2015,Cleanup,3.91236,43.5199,3.91336,43.5199
Surfrider Foundation Europe,"Strandopgang Molenslag Ter Heijde, 2684 Ter Heijde, Pays-Bas",NL,North-east Atlantic Ocean,68,,,20151124,2015,Cleanup,4.17127,52.0344,4.17227,52.0344
HCMR@School,???????,GR,Mediterranean Sea,118,Rural,Pebbels,20151128,2015,Cleanup,23.44015575,37.50209037,23.43899134,37.50257285
Surfrider Foundation Europe,"10 Impasse Gibraltar, 44730 Saint-Michel-Chef-Chef, France",FR,North-east Atlantic Ocean,75,,,20151202,2015,Cleanup,-2.16091,47.1873,-2.15991,47.1873
gBqsPxAZ,krapetz,BG,Black Sea,5850,Rural,Sandy,20151203,2015,Cleanup,28.56499841,43.69553762,28.57414301,43.64330918
gBqsPxAZ,durankulak,BG,Black Sea,249,Rural,Sandy,20151203,2015,Cleanup,28.56580627,43.69637225,28.56424458,43.6944412
gBqsPxAZ,shkorpilovzi,BG,Black Sea,2829,Near river mouth,Sandy,20151204,2015,Cleanup,27.89612338,42.97028162,27.90188219,42.94517333
gBqsPxAZ,kanal 2 varnensko ezero - cherno more,BG,Black Sea,1227,Urban,Rocky,20151204,2015,Cleanup,27.8795013,43.19306946,27.89060864,43.185582
gBqsPxAZ,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20151205,2015,Cleanup,27.88897856,42.80734896,27.89656751,42.78272613
gBqsPxAZ,irakli,BG,Black Sea,2222,Near river mouth,Sandy,20151205,2015,Cleanup,27.8896781,42.74945469,27.89491813,42.72983464
gBqsPxAZ,chernomorski solnizi,BG,Black Sea,2332,Urban,Sandy,20151206,2015,Cleanup,27.48449735,42.5105809,27.49209964,42.53080422
gBqsPxAZ,alepu,BG,Black Sea,2779,Urban,Sandy,20151206,2015,Cleanup,27.72246797,42.34864091,27.71062972,42.37205899
gBqsPxAZ,Carcavelos Beach,PT,North-east Atlantic Ocean,23,Near river mouth,Sandy,20151211,2015,Cleanup,-9.335719448,38.67984919,-9.335812775,38.67965465
gBqsPxAZ,praia da torre,PT,North-east Atlantic Ocean,137,Near river mouth,Sandy,20151211,2015,Cleanup,-9.322929763,38.67603627,-9.323920711,38.6750824
Surfrider Foundation Europe,"41 Tramo litoral Deba-Zumaia, 20750 Zumaia, Espagne",ES,North-east Atlantic Ocean,81,,,20151213,2015,Cleanup,-2.25156,43.3025,-2.25056,43.3025
gBqsPxAZ,Maagan Michael,IL,Mediterranean Sea,139,Rural,Sandy,20151216,2015,Cleanup,34.91144826,32.570809,34.91103402,32.56961353
gBqsPxAZ,Praia da Torre,PT,North-east Atlantic Ocean,382,Near river mouth,Sandy,20151220,2015,Cleanup,-9.371526528,38.6997677,-9.368393301,38.70214135
Surfrider Foundation Europe,"36 Zurriola Hiribidea, 20002 Donostia, Espagne",ES,North-east Atlantic Ocean,81,,,20151220,2015,Cleanup,-1.97485,43.3258,-1.97385,43.3258
gBqsPxAZ,Betzet,IL,Mediterranean Sea,1018,Rural,Sandy,20151229,2015,Cleanup,35.10579459,33.07914574,35.10457757,33.07002513
Marnoba,"Los Berengueles, Granada",ES,Mediterranean Sea,100,Urban,Sandy,20151230,2015,Cleanup,-3.727777719,36.72333527,-3.726777719,36.72333527
Surfrider Foundation Europe,"25 Rue du Castel, 14520 Port-en-Bessin-Huppain, France",FR,North-east Atlantic Ocean,72,,,20160109,2016,Cleanup,-0.754409,49.3493,-0.753409,49.3493
Surfrider Foundation Europe,"Unnamed Road Le Porge, 33680 Le Porge, France",FR,North-east Atlantic Ocean,79,,,20160109,2016,Cleanup,-1.22867,44.8279,-1.22767,44.8279
Surfrider Foundation Europe,Burumendi,ES,North-east Atlantic Ocean,21,Urban,Other (mixed),20160111,2016,Cleanup,-2.382333663,43.31267529,-2.382132439,43.31255091
gBqsPxAZ,Dead Man's,IE,North-east Atlantic Ocean,143,,,20160112,2016,Cleanup,-9.035884677,53.26939689,-9.033836518,53.2689628
Aarhus University - Denmark,"Ris, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20160114,2016,Monitoring,12.08366018,55.6922447,12.0840066,55.69312056
Surfrider Foundation Europe,"54 Viale Cristoforo Colombo, 54033 Carrara, Italie",IT,Mediterranean Sea,80,,,20160124,2016,Cleanup,10.0254,44.0429,10.0264,44.0429
Perseus,Mavro Lithari,GR,Mediterranean Sea,112,Urban,Sandy,20160126,2016,Cleanup,23.90437183,37.73524124,23.90498012,37.7361218
Perseus,Mavro Lithari,GR,Mediterranean Sea,112,Urban,Sandy,20160126,2016,Cleanup,23.90437183,37.73524124,23.90498012,37.7361218
Surfrider Foundation Europe,"Avenue des Cavaliers Anglet, 64600 Anglet, France",FR,North-east Atlantic Ocean,81,,,20160127,2016,Cleanup,-1.52669,43.5216,-1.52569,43.5216
gBqsPxAZ,ALIKI,GR,Mediterranean Sea,118,Urban,Other (mixed),20160202,2016,Cleanup,22.11132554,38.26409818,22.11059339,38.26498967
Surfrider Foundation Europe,Cala Murgita,ES,North-east Atlantic Ocean,405,Urban,Rocky,20160205,2016,Cleanup,-1.948034847,43.33215578,-1.945543296,43.32899348
gBqsPxAZ,ALIKI,GR,Mediterranean Sea,118,Urban,Other (mixed),20160208,2016,Cleanup,22.11132554,38.26409818,22.11059339,38.26498967
Marnoba,"Barrañán, A Coru_",ES,North-east Atlantic Ocean,100,Rural,Sandy,20160208,2016,Cleanup,-8.551274686,43.31019859,-8.550274686,43.31019859
Surfrider Foundation Europe,"81 Chemin de Senix, 64500 Saint-Jean-de-Luz, France",FR,North-east Atlantic Ocean,81,,,20160217,2016,Cleanup,-1.62052,43.4214,-1.61952,43.4214
Surfrider Foundation Europe,"Carretera Cartagena Los Alc_ares, 30710 Los Alc_ares, Espagne",ES,Mediterranean Sea,90,,,20160221,2016,Cleanup,-0.861234,37.7213,-0.860234,37.7213
DeFishGear - Slovenia,Fiesa-Jezero (Lake),SI,Mediterranean Sea,137,Urban,Pebbels,20160225,2016,Cleanup,13.58097863,45.52409712,13.58265233,45.52448799
DeFishGear - Slovenia,Fiesa-Jezero (Lake),SI,Mediterranean Sea,137,Urban,Pebbels,20160225,2016,Cleanup,13.58097863,45.52409712,13.58265233,45.52448799
DeFishGear - Slovenia,Bele Skale 1 MLW Month,HR,Mediterranean Sea,95,Rural,Pebbels,20160225,2016,Monitoring,13.51944309,45.50170535,13.52054816,45.50133172
Marnoba,"A Lanzada, Pontevedra",ES,North-east Atlantic Ocean,100,Rural,Sandy,20160309,2016,Cleanup,-8.875800133,42.45066833,-8.874800133,42.45066833
gBqsPxAZ,krapetz,BG,Black Sea,5850,Rural,Sandy,20160310,2016,Cleanup,28.56499841,43.69553762,28.57414301,43.64330918
gBqsPxAZ,durankulak,BG,Black Sea,249,Rural,Sandy,20160310,2016,Cleanup,28.56580627,43.69637225,28.56424458,43.6944412
gBqsPxAZ,shkorpilovzi,BG,Black Sea,2829,Near river mouth,Sandy,20160311,2016,Cleanup,27.89612338,42.97028162,27.90188219,42.94517333
gBqsPxAZ,kanal 2 varnensko ezero - cherno more,BG,Black Sea,1227,Urban,Rocky,20160311,2016,Cleanup,27.8795013,43.19306946,27.89060864,43.185582
gBqsPxAZ,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20160312,2016,Cleanup,27.88897856,42.80734896,27.89656751,42.78272613
gBqsPxAZ,irakli,BG,Black Sea,2222,Near river mouth,Sandy,20160312,2016,Cleanup,27.8896781,42.74945469,27.89491813,42.72983464
gBqsPxAZ,chernomorski solnizi,BG,Black Sea,2332,Urban,Sandy,20160313,2016,Cleanup,27.48449735,42.5105809,27.49209964,42.53080422
gBqsPxAZ,alepu,BG,Black Sea,2779,Urban,Sandy,20160313,2016,Cleanup,27.72246797,42.34864091,27.71062972,42.37205899
gBqsPxAZ,Chesil Cove,UK,North-east Atlantic Ocean,441,Urban,Pebbels,20160314,2016,Cleanup,-2.447999686,50.55702152,-2.449175666,50.56091823
Perseus,Alepu,BG,Black Sea,105,Rural,Sandy,20160317,2016,Cleanup,27.70921843,42.36708233,27.70950129,42.36616388
Surfrider Foundation Europe,"2 Boulevard Saint-Asile, 83430 Saint-Mandrier-sur-Mer, France",FR,Mediterranean Sea,81,,,20160317,2016,Cleanup,5.90731,43.0718,5.90831,43.0718
Marnoba,"Horcas Coloradas, Melilla",ES,Mediterranean Sea,100,Urban,Sandy,20160317,2016,Cleanup,-2.936389,35.291111,-2.935389,35.291111
Surfrider Foundation Europe,"6178 Avenue de la Plage, 62231 Sangatte, France",FR,North-east Atlantic Ocean,69,,,20160319,2016,Cleanup,1.82574,50.9613,1.82674,50.9613
Surfrider Foundation Europe,"Mr Belkheira Mohammed Cite 20 Aout 1955 Bt /P N:3 , 42002 Cherchell, Alg_ie",DZ,Mediterranean Sea,91,,,20160319,2016,Cleanup,2.20224,36.6216,2.20324,36.6216
Surfrider Foundation Europe,"141 Via Roma, 00055 Ladispoli, Italie",IT,Mediterranean Sea,83,,,20160319,2016,Cleanup,12.0521,41.9599,12.0531,41.9599
Surfrider Foundation Europe,"6178 Avenue de la Plage, 62231 Sangatte, France",FR,North-east Atlantic Ocean,69,,,20160319,2016,Cleanup,1.82574,50.9613,1.82674,50.9613
Surfrider Foundation Europe,"cotentin surf club 14 bis boulevard Deveaud, 50340 Siouville-Hague, France",FR,North-east Atlantic Ocean,71,,,20160319,2016,Cleanup,-1.8402,49.5584,-1.8392,49.5584
Surfrider Foundation Europe,"10 Rue Paul-Emile Victor, 14150 Ouistreham, France",FR,North-east Atlantic Ocean,72,,,20160320,2016,Cleanup,-0.247527,49.2795,-0.246527,49.2795
Surfrider Foundation Europe,"AS-239 Carre_, 33430 Cand_, Espagne",ES,North-east Atlantic Ocean,81,,,20160320,2016,Cleanup,-5.76157,43.5877,-5.76057,43.5877
Surfrider Foundation Europe,"12 Lungomare Colombo, 86039 Termoli, Italie",IT,Mediterranean Sea,83,,,20160320,2016,Cleanup,14.996,42.0049,14.997,42.0049
gBqsPxAZ,Sandwood bay,UK,North-east Atlantic Ocean,1315,Rural,Sandy,20160320,2016,Cleanup,-5.051088727,58.54249382,-5.069392366,58.5354702
Surfrider Foundation Europe,"Viale Matelda Lido di Dante, 48124 Lido di Dante, Italie",IT,Mediterranean Sea,79,,,20160320,2016,Cleanup,12.319,44.3859,12.32,44.3859
Surfrider Foundation Europe,"38-179 Strada Tre Ponti, 18038 Sanremo, Italie",IT,Mediterranean Sea,80,,,20160320,2016,Cleanup,7.81536,43.822,7.81636,43.822
Aarhus University - Denmark,"Ris, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20160404,2016,Monitoring,12.08366018,55.6922447,12.0840066,55.69312056
Aarhus University - Denmark,"S_der, Roskilde Vig",DK,North-east Atlantic Ocean,99,Rural,Pebbels,20160406,2016,Monitoring,12.08215544,55.66975815,12.08374761,55.6697621
gBqsPxAZ,hove,UK,North-east Atlantic Ocean,1530,,,20160410,2016,Cleanup,-0.178984111,50.8244313,-0.200763565,50.82639373
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20160411,2016,Monitoring,28.59051,43.83461,28.59055,43.83369
Mare Nostrum,Costine?ti,RO,Black Sea,103,Rural,Sandy,20160411,2016,Monitoring,28.64046,43.95488,28.64006,43.954
Mare Nostrum,Eforie,RO,Black Sea,105,Urban,Sandy,20160411,2016,Monitoring,28.64498,44.0462,28.64536,44.0453
Mare Nostrum,Constanta,RO,Black Sea,105,Urban,Sandy,20160412,2016,Cleanup,28.65538,44.19412,28.65575,44.19321
Mare Nostrum,N?vodari,RO,Black Sea,100,Urban,Sandy,20160412,2016,Cleanup,28.63048,44.31021,28.63005,44.30936
Mare Nostrum,Mamaia ,RO,Black Sea,107,Urban,Sandy,20160412,2016,Cleanup,28.62236,44.28098,28.62222,44.28002
Mare Nostrum,Corbu,RO,Black Sea,104,Rural,Sandy,20160413,2016,Cleanup,28.70474,44.36764,28.70428,44.36672
Plastic Change,Roskilde Vig Nord,DK,North-east Atlantic Ocean,100,Rural,Sandy,20160414,2016,Monitoring,12.056157,55.660566,12.055791,55.66144379
Aarhus University - Denmark,MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20160414,2016,Monitoring,12.57666753,55.55767488,12.57508718,55.55761141
Plastic Change,Roskilde Vig Syd,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20160414,2016,Monitoring,12.06463072,55.656057,12.066131,55.65575
Plastic Change,Lejre Vig I,DK,North-east Atlantic Ocean,97,Rural,Other (mixed),20160415,2016,Monitoring,11.965765,55.675735,11.96423,55.675801
Plastic Change,Lejre Vig II,DK,North-east Atlantic Ocean,100,Rural,Rocky,20160415,2016,Monitoring,11.99125,55.683035,11.99203,55.682251
Plastic Change,Sivholm,DK,North-east Atlantic Ocean,100,Rural,Rocky,20160415,2016,Monitoring,12.008501,55.681588,12.00824,55.68247
Aarhus University - Denmark,MSFD Skagen,DK,North-east Atlantic Ocean,99,Rural,Other (mixed),20160417,2016,Monitoring,10.58123183,57.74860901,10.58281088,57.74891554
Plastic Change,Boserup,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20160417,2016,Monitoring,12.04382643,55.67119801,12.04366129,55.67030767
gBqsPxAZ,Ved Munkholmbroen,DK,North-east Atlantic Ocean,126,Rural,Sandy,20160418,2016,Cleanup,11.81331429,55.67370318,11.81509349,55.67423929
Plastic Change,Jyllinge,DK,North-east Atlantic Ocean,100,Rural,Rocky,20160420,2016,Monitoring,12.105311,55.734717,12.1062798,55.73400133
Plastic Change,Sels,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20160421,2016,Monitoring,11.995539,55.732848,11.996107,55.732007
Aarhus University - Denmark,"MSFD Pomlenakke, Falster",DK,Baltic Sea,100,Rural,Other (mixed),20160423,2016,Monitoring,12.12396176,54.80588175,12.12483001,54.80663181
gBqsPxAZ,Neum,BA,Mediterranean Sea,1551,Urban,Other (mixed),20160424,2016,Cleanup,17.61979085,42.91792327,17.60769942,42.92868772
Aarhus University - Denmark,MSFD Nymindegab,DK,North-east Atlantic Ocean,100,Rural,Sandy,20160424,2016,Monitoring,8.163800428,55.84143681,8.164009136,55.84054878
Plastic Change,Kornerup ,DK,North-east Atlantic Ocean,100,Near river mouth,Other (mixed),20160427,2016,Monitoring,12.011989,55.654912,12.010532,55.654551
gBqsPxAZ,clogherhead 1000m louth,IE,North-east Atlantic Ocean,728,,,20160427,2016,Cleanup,-6.231634643,53.788766,-6.237113103,53.78306094
gBqsPxAZ,long beach 1000m,IE,North-east Atlantic Ocean,893,,,20160427,2016,Cleanup,-8.955639245,51.55115214,-8.965121661,51.55665994
gBqsPxAZ,clogherhead 100m co louth,IE,North-east Atlantic Ocean,141,,,20160427,2016,Cleanup,-6.23400801,53.78761051,-6.232999895,53.78873199
gBqsPxAZ,long beach cork 100m,IE,North-east Atlantic Ocean,155,,,20160427,2016,Cleanup,-8.956641353,51.55245631,-8.955597061,51.55122045
Plastic Change,Gunds_ille,DK,North-east Atlantic Ocean,100,Rural,Rocky,20160428,2016,Monitoring,12.107316,55.710286,12.10888983,55.71042218
gBqsPxAZ,"carne beach, wexford",IE,North-east Atlantic Ocean,765,,,20160428,2016,Cleanup,-6.347260787,52.19834333,-6.346957605,52.191472
gBqsPxAZ,carne beach co wexford,IE,North-east Atlantic Ocean,76,,,20160428,2016,Cleanup,-6.348033882,52.19171197,-6.348303377,52.19237279
gBqsPxAZ,silver strand 1000,IE,North-east Atlantic Ocean,446,,,20160429,2016,Cleanup,-9.885489777,53.64597936,-9.888752115,53.64950231
gBqsPxAZ,silver strand 100m,IE,North-east Atlantic Ocean,151,,,20160429,2016,Cleanup,-9.886079036,53.64703412,-9.885489516,53.64572619
gBqsPxAZ,Torvaianica Beach,IT,Mediterranean Sea,209,Near river mouth,Sandy,20160430,2016,Cleanup,12.42473518,41.64991284,12.42282792,41.65112351
Legambiente Onlus,"Spiaggia di Levante, Terracina (LT)",IT,Mediterranean Sea,100,,,20160430,2016,Monitoring,13.25821,41.28613,13.25921,41.28613
Legambiente Onlus,"Spiaggia di Punta delle Formiche, Pachino (SR)",IT,Mediterranean Sea,100,,,20160501,2016,Monitoring,15.05526,36.66732,15.05626,36.66732
Marnoba,"Tabaiba, Santa Cruz de Tenerife",ES,North-east Atlantic Ocean,100,Urban,Rocky,20160502,2016,Cleanup,-16.33027458,28.40213013,-16.32927458,28.40213013
gBqsPxAZ,perros cale,FR,North-east Atlantic Ocean,100,Urban,Pebbels,20160503,2016,Cleanup,-3.436605899,48.80597614,-3.437272603,48.80519116
Plastic Change,Roskilde Vikingeskibsmuseum,DK,North-east Atlantic Ocean,57,Urban,Other (mixed),20160504,2016,Monitoring,12.08207642,55.65111993,12.08281224,55.6514134
gBqsPxAZ,pineto ,IT,Mediterranean Sea,179,,,20160505,2016,Cleanup,14.06689592,42.6120597,14.06797795,42.61066326
Legambiente Onlus,"Spiaggia di Marina di Montemarciano, Ancona (AN)",IT,Mediterranean Sea,100,,,20160505,2016,Monitoring,13.30213,43.67125,13.30313,43.67125
Legambiente Onlus,"Spiaggia del Vascello dOro, Comacchio (FE)",IT,Mediterranean Sea,100,,,20160505,2016,Cleanup,12.24054,44.70613,12.24154,44.70613
Marnoba,"La Barceloneta, Barcelona",ES,Mediterranean Sea,100,Urban,Sandy,20160506,2016,Cleanup,2.191738,41.377407,2.192738,41.377407
gBqsPxAZ,renote,FR,North-east Atlantic Ocean,100,Urban,Sandy,20160506,2016,Cleanup,-3.508973437,48.83527404,-3.50802234,48.8359206
Marnoba,"Platja Equipada, Barcelona",ES,Mediterranean Sea,100,Urban,Sandy,20160506,2016,Cleanup,2.10561,41.287226,2.10661,41.287226
gBqsPxAZ,trestraou,FR,North-east Atlantic Ocean,99,Urban,Sandy,20160506,2016,Cleanup,-3.457759807,48.81602658,-3.458959759,48.81644089
gBqsPxAZ,forum,FR,North-east Atlantic Ocean,100,Urban,Other (mixed),20160506,2016,Cleanup,-3.516423629,48.83283979,-3.515941638,48.83368298
gBqsPxAZ,ste Anne,FR,North-east Atlantic Ocean,101,Urban,Other (mixed),20160506,2016,Cleanup,-3.509248229,48.82680058,-3.510000559,48.82755956
Legambiente Onlus,"Spiaggia di Mappatello, Torre Annunziata (NA)",IT,Mediterranean Sea,100,,,20160507,2016,Monitoring,14.44244,40.75273,14.44344,40.75273
Legambiente Onlus,"Spiaggia in localit? Magazzeno, Pontecagnano (SA)",IT,Mediterranean Sea,100,,,20160507,2016,Cleanup,14.85727,40.60935,14.85827,40.60935
Marnoba,"El Muntanyans, Tarragona",ES,Mediterranean Sea,100,Urban,Sandy,20160507,2016,Cleanup,1.415856,41.144815,1.416856,41.144815
Legambiente Onlus,"Spiaggia a San Cataldo, Trappeto (PA)",IT,Mediterranean Sea,100,,,20160507,2016,Monitoring,13.06424,38.07909,13.06524,38.07909
Marnoba,"De Ponent, Barcelona",ES,Mediterranean Sea,100,Urban,Sandy,20160507,2016,Cleanup,2.38768,41.499231,2.38868,41.499231
Legambiente Onlus,Spiaggia libera a Battipaglia (SA),IT,Mediterranean Sea,100,,,20160507,2016,Cleanup,14.89603,40.56303,14.89703,40.56303
Legambiente Onlus,"Spiaggia Olivella, Santa Flavia (PA)",IT,Mediterranean Sea,100,,,20160508,2016,Monitoring,13.53692,38.08293,13.53792,38.08293
gBqsPxAZ,la gr_e blanche,FR,North-east Atlantic Ocean,102,Rural,Sandy,20160510,2016,Cleanup,-3.521528242,48.82999887,-3.520118237,48.82998655
gBqsPxAZ,landrellec,FR,North-east Atlantic Ocean,101,Rural,Sandy,20160510,2016,Cleanup,-3.54070517,48.81584678,-3.539771301,48.81652214
gBqsPxAZ,toeno,FR,North-east Atlantic Ocean,103,Rural,Other (mixed),20160511,2016,Cleanup,-3.581422114,48.7880183,-3.580730299,48.78720488
gBqsPxAZ,kellen,FR,North-east Atlantic Ocean,102,Urban,Other (mixed),20160511,2016,Cleanup,-3.578584478,48.78236264,-3.579024144,48.78149599
gBqsPxAZ,keryvon,FR,North-east Atlantic Ocean,100,Rural,Sandy,20160511,2016,Cleanup,-3.542802745,48.7976047,-3.541838862,48.79824962
Legambiente Onlus,"Spiaggia libera in localit? Bagnara, Castel Volturno (CS)",IT,Mediterranean Sea,100,,,20160512,2016,Cleanup,13.91499,41.04916,13.91599,41.04916
gBqsPxAZ,??????? ?. ??????,GR,Mediterranean Sea,71,,,20160512,2016,Cleanup,22.95301587,40.57079214,22.95250215,40.57129751
gBqsPxAZ,pors termen,FR,North-east Atlantic Ocean,100,Urban,Sandy,20160512,2016,Cleanup,-3.583480246,48.77410101,-3.584074155,48.77328635
gBqsPxAZ,Tresmeur,FR,North-east Atlantic Ocean,102,Urban,Sandy,20160512,2016,Cleanup,-3.582719428,48.76834171,-3.584057957,48.76861274
gBqsPxAZ,pors mabo,FR,North-east Atlantic Ocean,100,Rural,Sandy,20160512,2016,Cleanup,-3.56341502,48.75970651,-3.564666541,48.76007415
Legambiente Onlus,"Marina di Priolo Gargallo, Siracusa (SR)",IT,Mediterranean Sea,100,,,20160512,2016,Monitoring,15.22647,37.15168,15.22747,37.15168
Legambiente Onlus,"Spiaggia sul Mar Piccolo, Taranto (TA)",IT,Mediterranean Sea,100,,,20160512,2016,Monitoring,17.30215,40.46946,17.30315,40.46946
gBqsPxAZ,goas lagorn,FR,North-east Atlantic Ocean,97,Rural,Sandy,20160513,2016,Cleanup,-3.549283831,48.74463586,-3.549371547,48.74551038
gBqsPxAZ,pors gelen,FR,North-east Atlantic Ocean,101,Urban,Sandy,20160513,2016,Cleanup,-3.565835892,48.80703873,-3.564689074,48.80651919
Legambiente Onlus,"Spiaggia di Mercatello, Salerno (SA)",IT,Mediterranean Sea,100,,,20160513,2016,Cleanup,14.79936,40.65881,14.80036,40.65881
gBqsPxAZ,maez an aod,FR,North-east Atlantic Ocean,99,Rural,Sandy,20160513,2016,Cleanup,-3.550798347,48.73539724,-3.550320539,48.73622913
Legambiente Onlus,"Spiaggia Cantone, Barcellona Pozzo di Gotto (ME)",IT,Mediterranean Sea,100,,,20160513,2016,Monitoring,15.1721,38.1523,15.1731,38.1523
Legambiente Onlus,"Spiaggia del Pezzolo a Marina di Seiano, Vico Equense (NA)",IT,Mediterranean Sea,100,,,20160513,2016,Cleanup,14.42009,40.66103,14.42109,40.66103
Legambiente Onlus,"Spiaggia Giannella, Orbetello (GR)",IT,Mediterranean Sea,100,,,20160513,2016,Monitoring,11.18234,42.45951,11.18334,42.45951
Legambiente Onlus,"Spiaggia di Capocotta, Ostia (RM)",IT,Mediterranean Sea,100,,,20160513,2016,Cleanup,12.39879,41.66856,12.39979,41.66856
Legambiente Onlus,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",IT,Mediterranean Sea,100,,,20160514,2016,Cleanup,15.64248,38.10975,15.64348,38.10975
Legambiente Onlus,"Spiaggia presso Laguna del Mort, Eraclea (VE)",IT,Mediterranean Sea,100,,,20160514,2016,Monitoring,12.73452,45.53119,12.73552,45.53119
Legambiente Onlus,"Spiaggia di Pioppi, Salerno (SA)",IT,Mediterranean Sea,100,,,20160514,2016,Cleanup,15.08983,40.17386,15.09083,40.17386
Legambiente Onlus,"Spiaggia a Marina di Stabia, Castellammare di Stabia (NA)",IT,Mediterranean Sea,100,,,20160514,2016,Cleanup,14.47591,40.71713,14.47691,40.71713
Legambiente Onlus,"Cala Lama Monachile, Polignano a Mare (BA)",IT,Mediterranean Sea,100,,,20160514,2016,Monitoring,17.218025,40.996589,17.219025,40.996589
Legambiente Onlus,"Spiaggia Agnone Cilento, Montecorice (SA)",IT,Mediterranean Sea,100,,,20160514,2016,Cleanup,14.99333,40.21738,14.99433,40.21738
Legambiente Onlus,"Spiaggia di Steccato di Cutro, Crotone (KR)",IT,Mediterranean Sea,100,,,20160514,2016,Cleanup,16.91653,38.93238,16.91753,38.93238
Legambiente Onlus,"Spiaggia al Piano di Velia, Ascea (SA)",IT,Mediterranean Sea,100,,,20160514,2016,Monitoring,15.15285,40.15431,15.15385,40.15431
Legambiente Onlus,"Spiaggia di Trentova, Agropoli (SA)",IT,Mediterranean Sea,100,,,20160515,2016,Cleanup,14.97112,40.34198,14.97212,40.34198
Legambiente Onlus,"Spiaggia Marzocca, Senigallia (AN)",IT,Mediterranean Sea,100,,,20160516,2016,Monitoring,13.28975,43.67737,13.29075,43.67737
gBqsPxAZ,Ponton,BA,,86,Urban,Other (mixed),20160519,2016,Cleanup,19.10840665,44.36865517,19.10908386,44.36925568
Marnoba,"Fenals, Girona",ES,Mediterranean Sea,100,Urban,Sandy,20160529,2016,Cleanup,2.836229,41.694626,2.837229,41.694626
gBqsPxAZ,Playa de Baldaio,ES,North-east Atlantic Ocean,408,Rural,Sandy,20160607,2016,Cleanup,-8.678985199,43.29871191,-8.674127527,43.29965946
Surfrider Foundation Europe,Olive tree field beach,GR,Mediterranean Sea,530,,,20160608,2016,Cleanup,24.55819536,40.73956775,24.56031871,40.74405388
Marnoba,"El Arenal, Alicante/Alacant",ES,Mediterranean Sea,100,Rural,Pebbels,20160609,2016,Cleanup,0.190027,38.774895,0.191027,38.774895
Marnoba,"Platja de la Murtra, Barcelona",ES,Mediterranean Sea,100,Urban,Sandy,20160611,2016,Cleanup,2.606263,41.594577,2.607263,41.594577
Marnoba,"La Misericordia, M_aga",ES,Mediterranean Sea,100,Near river mouth,Sandy,20160611,2016,Cleanup,-4.453381,36.667671,-4.452381,36.667671
Marnoba,"Norte de Gand_, Valencia/Val_cia",ES,Mediterranean Sea,100,Urban,Sandy,20160612,2016,Cleanup,-0.17004,39.016103,-0.16904,39.016103
gBqsPxAZ,clogherhead 100m,IE,North-east Atlantic Ocean,114,,,20160617,2016,Cleanup,-6.234836673,53.78804454,-6.233725008,53.78884058
gBqsPxAZ,carne 100m,IE,North-east Atlantic Ocean,124,,,20160617,2016,Cleanup,-6.348476909,52.19225782,-6.347146279,52.19149374
gBqsPxAZ,clogherhead 1000m,IE,North-east Atlantic Ocean,744,,,20160617,2016,Cleanup,-6.233419364,53.78902591,-6.238000772,53.7828971
gBqsPxAZ,carne 1000m,IE,North-east Atlantic Ocean,747,,,20160617,2016,Cleanup,-6.34766191,52.19149718,-6.347355019,52.19820481
gBqsPxAZ,long strand,IE,North-east Atlantic Ocean,142,,,20160618,2016,Cleanup,-8.955702446,51.55125138,-8.956763581,51.55235108
gBqsPxAZ,long strand,IE,North-east Atlantic Ocean,142,,,20160618,2016,Cleanup,-8.955702446,51.55125138,-8.956763581,51.55235108
gBqsPxAZ,long beach 1000,IE,North-east Atlantic Ocean,1134,,,20160618,2016,Cleanup,-8.95573703,51.5511476,-8.968669827,51.557522
Aarhus University - Denmark,MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20160621,2016,Monitoring,12.57666753,55.55767488,12.57508718,55.55761141
Aarhus University - Denmark,Skomagerkrogen,DK,North-east Atlantic Ocean,100,Rural,Sandy,20160621,2016,Monitoring,12.09103274,55.67006725,12.09031659,55.67087199
