CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventYear,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Archipelagos Institute of Marine Conservation,Mikali (base),GR,Mediterranean Sea,389,Rural,Pebbels,20150317,2015,Cleanup,26.97441878,37.70125405,26.97036328,37.69999771
Surfers Against Sewage,Hamble common foreshore,UK,North-east Atlantic Ocean,574,,,20150317,2015,Cleanup,-1.314238082,50.8498302,-1.321767087,50.85195698
Surfrider Foundation Europe,Ilbarritz,FR,North-east Atlantic Ocean,119,Urban,Sandy,20150317,2015,Cleanup,-1.577767036,43.46157018,-1.578066305,43.46052062
Surfrider Foundation Europe,"2 All?e de Barqueroute, 13620 Carry-le-Rouet, France",FR,Mediterranean Sea,81,,,20150317,2015,Cleanup,5.16029,43.3291,5.16129,43.3291
DeFishGear - Slovenia,Bele skale 1 MS Monitoring ,SI,Mediterranean Sea,106,Urban,Pebbels,20150318,2015,Monitoring,13.62293341,45.53586968,13.62184979,45.53643754
DeFishGear - Slovenia,Piran MS Monitoring ,SI,Mediterranean Sea,98,Urban,Pebbels,20150318,2015,Monitoring,13.57499749,45.52819299,13.576006,45.52767109
DeFishGear - Slovenia,Strunjan MS Monitoring ,SI,Mediterranean Sea,101,Urban,Pebbels,20150318,2015,Monitoring,13.60225756,45.53593545,13.60188741,45.53680532
DeFishGear - Slovenia,Bele skale 2 MS Monitoring ,SI,Mediterranean Sea,98,Rural,Pebbels,20150318,2015,Monitoring,13.62157753,45.53652475,13.62061998,45.53709824
Surfrider Foundation Europe,"R?sidence les Rives de la Favi?re Bormes-les-Mimosas, 83230 Bormes-les-Mimosas, France",FR,Mediterranean Sea,81,,,20150319,2015,Cleanup,6.35989,43.1208,6.36089,43.1208
Surfrider Foundation Europe,"13 Pont Saint-Cyprien, 86000 Poitiers, France",Int,,76,,,20150319,2015,Cleanup,0.346619,46.5752,0.347619,46.5752
Perseus,Mangalia 1,RO,Black Sea,2081,Urban,Sandy,20150319,2015,Cleanup,28.58960172,43.80935175,28.59300129,43.82791516
Surfrider Foundation Europe,"27 Avenue de la Planche, 13008 Marseille, France",FR,Mediterranean Sea,81,,,20150319,2015,Cleanup,5.38444,43.2629,5.38544,43.2629
Surfrider Foundation Europe,"Plage du LEQUIN, 83400 Hy?res, France",FR,Mediterranean Sea,82,,,20150319,2015,Cleanup,6.20365,43,6.20465,43
Surfrider Foundation Europe,"81 Avenue de la Pointe Rouge, 13008 Marseille, France",FR,Mediterranean Sea,81,,,20150320,2015,Cleanup,5.37347,43.2461,5.37447,43.2461
Surfrider Foundation Europe,"38 Avenue de Montredon, 13008 Marseille, France",FR,Mediterranean Sea,81,,,20150320,2015,Cleanup,5.37116,43.2445,5.37216,43.2445
Surfrider Foundation Europe,"Playa entre calles 34 y 35, Buenos A Santa Teresita, Argentine",Int,,203,,,20150320,2015,Cleanup,-56.6883,-36.5383,-56.6873,-36.5383
Surfrider Foundation Europe,"12-34 Via Principe Umberto, 89040 Bivongi, Italie",Int,Mediterranean Sea,88,,,20150320,2015,Cleanup,16.4516,38.4837,16.4526,38.4837
Surfrider Foundation Europe,"Avenue Lieutenant colonel faro, 19000 Tulle, France",Int,,78,,,20150321,2015,Cleanup,1.7717,45.2657,1.7727,45.2657
Surfrider Foundation Europe,"Unnamed Road Vendays-Montalivet, 33930 Vendays-Montalivet, France",FR,North-east Atlantic Ocean,78,,,20150321,2015,Cleanup,-1.16024,45.3185,-1.15924,45.3185
Surfrider Foundation Europe,"17 Rue du 8 Mai 1945, 64110 Maz?res-Lezons, France",Int,,81,,,20150321,2015,Cleanup,-0.352569,43.2839,-0.351569,43.2839
Surfrider Foundation Europe,"Plage des Conches, 85560 LONGEVILLE SUR MER, France",FR,North-east Atlantic Ocean,76,,,20150321,2015,Cleanup,-1.50066,46.3958,-1.49966,46.3958
Surfrider Foundation Europe,"Domaine naturiste de La Jenny, 33680 Le Porge, France",FR,North-east Atlantic Ocean,79,,,20150321,2015,Cleanup,-1.21025,44.8441,-1.20925,44.8441
Surfrider Foundation Europe,"1 Route de Pen an Toul, 29480 Le Relecq-Kerhuon, France",FR,North-east Atlantic Ocean,73,,,20150321,2015,Cleanup,-4.39728,48.3931,-4.39628,48.3931
Surfrider Foundation Europe,"Strandweg 66, 23730 Rettin, Allemagne",DE,Baltic Sea,65,,,20150321,2015,Cleanup,10.8868,54.0928,10.8878,54.0928
Surfrider Foundation Europe,"Marina di Curinga, 88022 Curinga, Italie",IT,Mediterranean Sea,88,,,20150321,2015,Cleanup,16.221,38.8386,16.222,38.8386
Surfrider Foundation Europe,"D138 Saint-?tienne-des-Sorts, 30200 Saint-?tienne-des-Sorts, France",Int,,80,,,20150321,2015,Cleanup,4.7014,44.197,4.7024,44.197
Surfrider Foundation Europe,"1 Am Hafen, 17509 Lubmin, Allemagne",DE,Baltic Sea,64,,,20150321,2015,Cleanup,13.6462,54.1509,13.6472,54.1509
Surfrider Foundation Europe,"6 San Cristobal Auzoa, 48350 Busturia, Espagne",ES,North-east Atlantic Ocean,81,,,20150321,2015,Cleanup,-2.68984,43.375,-2.68884,43.375
Surfrider Foundation Europe,"Port du Passage, Maison de la Mer Guy Liziar, 29480 LE RELECQ KERHUON, France",FR,North-east Atlantic Ocean,73,,,20150321,2015,Cleanup,-4.38279,48.3957,-4.38179,48.3957
Surfrider Foundation Europe,"34 Boulevard de la Mer, 85800 Saint-Gilles-Croix-de-Vie, France",FR,North-east Atlantic Ocean,76,,,20150321,2015,Cleanup,-1.95575,46.6952,-1.95475,46.6952
Surfrider Foundation Europe,"Plage de Longchamp Saint-Lunaire, 35800 Saint-Lunaire, France",FR,North-east Atlantic Ocean,73,,,20150321,2015,Cleanup,-2.12141,48.6361,-2.12041,48.6361
Surfrider Foundation Europe,"Route de Pors ar Vil Keraliou, 29470 Plougastel-Daoulas, France",FR,North-east Atlantic Ocean,73,,,20150321,2015,Cleanup,-4.40219,48.3827,-4.40119,48.3827
Surfrider Foundation Europe,"All?e Andr?, 44250 St Brevin, France",FR,North-east Atlantic Ocean,75,,,20150321,2015,Cleanup,-2.1602,47.2074,-2.1592,47.2074
Surfrider Foundation Europe,"7-9 Impasse de la Filature, 56570 Locmiqu?lic, France",FR,North-east Atlantic Ocean,74,,,20150321,2015,Cleanup,-3.34728,47.7331,-3.34628,47.7331
Surfers Against Sewage,Mawgan Porth,UK,North-east Atlantic Ocean,216,Rural,Sandy,20150321,2015,Cleanup,-5.031617524,50.46576901,-5.03185596,50.46770341
Surfrider Foundation Europe,"34 EN1-1A, Azores Praia da Vit?ria, Portugal",PT,North-east Atlantic Ocean,88,,,20150321,2015,Cleanup,-27.0615,38.7184,-27.0605,38.7184
Surfrider Foundation Europe,"AS-317 Muros de Nal?n, 33138 Muros de Nal?n, Espagne",ES,North-east Atlantic Ocean,81,,,20150321,2015,Cleanup,-6.1059,43.558,-6.1049,43.558
Surfrider Foundation Europe," Les Salins du Lion, 13127 Vitrolles, France",FR,Mediterranean Sea,81,,,20150321,2015,Cleanup,5.22488,43.4515,5.22588,43.4515
Surfrider Foundation Europe,"les glacis, 56360 le palais, France",FR,North-east Atlantic Ocean,75,,,20150321,2015,Cleanup,-3.15984,47.349,-3.15884,47.349
Surfrider Foundation Europe,"6-7 Boulevard Albert 1er, 44600 Saint-Nazaire, France",FR,North-east Atlantic Ocean,75,,,20150321,2015,Cleanup,-2.22741,47.2575,-2.22641,47.2575
Surfrider Foundation Europe,"salle des fetes, 63320 Chidrac, France",Int,,78,,,20150321,2015,Cleanup,3.14399,45.5536,3.14499,45.5536
